,Appointed,Name,Status,Address,Role,Appointed on,Register Location,Registration Number,Company status,Resigned on,Correspondence address,Register location,Registration number,Company number
62,SKY CHARM SECRETARIAL SERVICES LIMITED,"YOCHEN TRADING CO., LTD. (09726370)",,,Secretary,11 August 2015,,,Active,10 August 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09726370
63,SKY CHARM SECRETARIAL SERVICES LIMITED,VANS INFORMATION LIMITED (09728268),,,Secretary,11 August 2015,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09728268
64,SKY CHARM SECRETARIAL SERVICES LIMITED,GLORY METAL ENGINEERING LTD. (07320871),,,Secretary,15 June 2015,,,Active,14 June 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,07320871
65,SKY CHARM SECRETARIAL SERVICES LIMITED,XINFEI INDUSTRY UK LTD (08172549),,,Secretary,8 August 2012,,,Active,7 August 2015,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08172549
66,SKY CHARM SECRETARIAL SERVICES LIMITED,"DEARWILL INDUSTRY CO., LTD. (09707781)",,,Secretary,29 July 2015,,,Active,26 July 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09707781
67,SKY CHARM SECRETARIAL SERVICES LIMITED,"MACWON CO., LTD. (08610011)",,,Secretary,7 July 2015,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08610011
68,SKY CHARM SECRETARIAL SERVICES LIMITED,JRD INDUSTRIAL LIMITED (08601115),,,Secretary,29 July 2015,,,Active,24 May 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08601115
69,SKY CHARM SECRETARIAL SERVICES LIMITED,"ONE-STOP SUPPLY TRADING CO., LTD (09709275)",,,Secretary,29 July 2015,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09709275
70,SKY CHARM SECRETARIAL SERVICES LIMITED,AUTOTECH TOOLING LIMITED (09728522),,,Secretary,12 August 2015,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09728522
71,SKY CHARM SECRETARIAL SERVICES LIMITED,"YANGYANG TRADE CO., LTD (08963039)",,,Secretary,27 March 2015,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08963039
72,SKY CHARM SECRETARIAL SERVICES LIMITED,1TIME PRODUCTS LTD (09709692),,,Secretary,30 July 2015,,,Active,24 May 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09709692
73,SKY CHARM SECRETARIAL SERVICES LIMITED,HMSAL LTD (09709936),,,Secretary,30 July 2015,,,Active,22 July 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09709936
74,SKY CHARM SECRETARIAL SERVICES LIMITED,"QINGDAO ROBUSTYRE TRADING CO., LTD. (09730757)",,,Secretary,13 August 2015,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09730757
75,SKY CHARM SECRETARIAL SERVICES LIMITED,"BAOJI RELIAB METAL MATERIALS CO., LTD. (09731894)",,,Secretary,13 August 2015,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09731894
