ship_imo,company_imo,role,company_name,company_address,date_of_effect
8937675,5515931,ISM Manager,DALIAN XINSHENG SHPG AGENCY CO,"48, Qinjian Jie, Zhongshan Qu, Dalian, Liaoning, China.",since 29/03/2016
8937675,1845244,Registered owner,NAMPHO FISHERY CO,"Ryongnam-ri, Waudo-guyok, Nampho, North Korea.",since 02/04/2016
7640378,5814883,Ship manager/Commercial manager,YONGJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",before 10/2014
7640378,5817809,Registered owner,TANCHON SHIPPING CO LTD,"Care of Yongjin Ship Management Co Ltd , Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",before 10/2014
7640378,5814883,ISM Manager,YONGJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 01/10/2014
8032683,5928891,Ship manager/Commercial manager,KOREA KANGAN SHIPPING CO LTD,"Pulgunkori 2-dong, Potonggang-guyok, Pyongyang, North Korea.",since 23/06/2016
8032683,5660680,Registered owner,UNIVERSAL IMP & EXP TRADING CO,"Care of Korea Kangan Shipping Co Ltd , Pulgunkori 2-dong, Potonggang-guyok, Pyongyang, North Korea.",since 22/02/2012
8032683,5928891,ISM Manager,KOREA KANGAN SHIPPING CO LTD,"Pulgunkori 2-dong, Potonggang-guyok, Pyongyang, North Korea.",since 23/06/2016
8203933,5926921,Ship manager/Commercial manager,DAWN MARINE MANAGEMENT CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 29/03/2016
8203933,5926921,Registered owner,DAWN MARINE MANAGEMENT CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 29/03/2016
8203933,5926921,ISM Manager,DAWN MARINE MANAGEMENT CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 29/03/2016
8620454,5434361,Ship manager/Commercial manager,KOREA MIYANG SHIPPING CO,"Okryu 3-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 22/04/2009
8620454,5434361,Registered owner,KOREA MIYANG SHIPPING CO,"Okryu 3-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 22/04/2009
8620454,5434361,ISM Manager,KOREA MIYANG SHIPPING CO,"Okryu 3-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 22/04/2009
8511809,5935504,Ship manager/Commercial manager,KUMSONG SHIPPING CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 01/08/2016
8511809,5935504,Registered owner,KUMSONG SHIPPING CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 01/08/2016
8511809,5935504,ISM Manager,KUMSONG SHIPPING CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 01/08/2016
9024889,5886531,Ship manager/Commercial manager,SUSONG SHIPPING CO LTD,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 14/09/2015
9024889,5886531,Registered owner,SUSONG SHIPPING CO LTD,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 14/09/2015
9024889,5886531,ISM Manager,SUSONG SHIPPING CO LTD,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 14/09/2015
8520719,5571305,Ship manager/Commercial manager,KOREA PUKSONG SHIPPING CO,"Chilgol 2-dong, Mangyongdae-guyok, Pyongyang, North Korea.",before 03/2016
8520719,5856372,Registered owner,DANDONG YUANZHOU TRADING,"Care of Korea Puksong Shipping Co , Chilgol 2-dong, Mangyongdae-guyok, Pyongyang, North Korea.",before 03/2015
